character_name,traits,category
Carly Pope,"['is_female', 'is_actor']",Acting
Richard Grieco,"['is_male', 'is_actor']",Acting
Mel Brooks,"['is_male', 'is_actor']",Acting
Anjelica Huston,"['is_female', 'is_actor']",Acting
Yoo Ah-in,"['is_male', 'is_actor']",Acting
Aneurin Barnard,"['is_male', 'is_actor']",Acting
Jessica Lowndes,"['is_female', 'is_actor']",Acting
Jaden Smith,"['is_male', 'is_actor']",Acting
Chris Rock,"['is_male', 'is_actor']",Acting
Oh Yeon-seo,"['is_female', 'is_actor']",Acting
Thomas Ian Nicholas,"['is_male', 'is_actor']",Acting
Chow Yun-Fat,"['is_male', 'is_actor']",Acting
Benjamin Evan Ainsworth,"['is_male', 'is_actor']",Acting
Kyla-Drew,"['is_female', 'is_actor']",Acting
Rena Takeda,"['is_female', 'is_actor']",Acting
Ti Lung,"['is_male', 'is_actor']",Acting
Alejandro Speitzer,"['is_male', 'is_actor']",Acting
Nana Komatsu,"['is_female', 'is_actor']",Acting
Adam Huber,"['is_male', 'is_actor']",Acting
Chun Woo-hee,"['is_female', 'is_actor']",Acting
Adrienne Barbeau,"['is_female', 'is_actor']",Acting
Grey DeLisle,"['is_female', 'is_actor']",Acting
Lupita Nyong'o,"['is_female', 'is_actor']",Acting
Embeth Davidtz,"['is_female', 'is_actor']",Acting
Barbara Carrera,"['is_female', 'is_actor']",Acting
Riki Lindhome,"['is_female', 'is_actor']",Acting
