character_name,traits,category
Missy Peregrym,"['is_female', 'is_actor']",Acting
Yuu Asakawa,"['is_female', 'is_actor']",Acting
Dalpalan,"['is_male', 'is_musician']",Sound
Britt Ekland,"['is_female', 'is_actor']",Acting
Emily Wickersham,"['is_female', 'is_actor']",Acting
Heather Matarazzo,"['is_female', 'is_actor']",Acting
Pamela Anderson,"['is_female', 'is_actor']",Acting
Chris Elliott,"['is_male', 'is_actor']",Acting
River Phoenix,"['is_male', 'is_actor']",Acting
Candice Patton,"['is_female', 'is_actor']",Acting
Anthony Michael Hall,"['is_male', 'is_actor']",Acting
Claudia Cardinale,"['is_female', 'is_actor']",Acting
Andie MacDowell,"['is_female', 'is_actor']",Acting
Julie Delpy,"['is_female', 'is_actor']",Acting
Jack McBrayer,"['is_male', 'is_actor']",Acting
Kate Capshaw,"['is_female', 'is_actor']",Acting
Kang Ki-young,"['is_male', 'is_actor']",Acting
Jeon Yeo-been,"['is_female', 'is_actor']",Acting
Tori Anderson,"['is_female', 'is_actor']",Acting
Robin Lord Taylor,"['is_male', 'is_actor']",Acting
